Period,ETF,Weight_Type,Tickers,Periods,A,B,R²,Systematic
60 Days Daily,ARKK,Equal Weighted,45,28,0.28485098399211023,0.2859264067525349,0.9804538624723693,0.29108816065564863
60 Days Daily,ARKK,MarketCap Weighted,45,28,0.3005944271801252,0.2884042172389758,0.9456013720201439,0.29108816065564863
60 Days Daily,ARKF,Equal Weighted,42,28,0.2735586579577461,0.2294922442968658,0.9795375945536664,0.2804419035723871
60 Days Daily,ARKF,MarketCap Weighted,42,28,0.2876994275186993,0.2052728587639733,0.9639781302575426,0.2804419035723871
60 Days Daily,ARKG,Equal Weighted,34,28,0.3096562354079686,0.275752735264899,0.9899200687460633,0.320046235123653
60 Days Daily,ARKG,MarketCap Weighted,34,28,0.35464626549056694,0.2457493778542286,0.9646754962663031,0.320046235123653
60 Days Daily,ARKQ,Equal Weighted,37,28,0.3316902452531338,0.21684028379283807,0.989796557422457,0.3412331474194566
60 Days Daily,ARKQ,MarketCap Weighted,37,28,0.36489573823543636,0.2038560326081748,0.9265218657096279,0.3412331474194566
60 Days Daily,ARKW,Equal Weighted,47,28,0.28418360589189967,0.2530200142254174,0.9876607186206412,0.29009168746794833
60 Days Daily,ARKW,MarketCap Weighted,47,28,0.28538777969179024,0.2678476335930047,0.948324988154916,0.29009168746794833
60 Days Daily,ARKX,Equal Weighted,34,28,0.26719912345275854,0.22007911332970334,0.9874203383601349,0.27596231565945045
60 Days Daily,ARKX,MarketCap Weighted,34,28,0.3769716402406947,0.12605131718647167,0.8194319901523913,0.27596231565945045
60 Days Weekly,ARKK,Equal Weighted,45,7,0.41134198836625757,0.14034272275166268,0.9947913961151352,0.4524197689529673
60 Days Weekly,ARKK,MarketCap Weighted,45,7,0.40405765405354094,0.19080918145717193,0.9422966273298866,0.4524197689529673
60 Days Weekly,ARKF,Equal Weighted,42,7,0.40903268153330224,0.09560127670659846,0.9959193249357395,0.45151480530434923
60 Days Weekly,ARKF,MarketCap Weighted,42,7,0.420621994886874,0.06521887165897476,0.9756733430430405,0.45151480530434923
60 Days Weekly,ARKG,Equal Weighted,34,7,0.3655000797261217,0.2083764223112864,0.9949289441483108,0.4047956210731374
60 Days Weekly,ARKG,MarketCap Weighted,34,7,0.4070197594145616,0.16807244116147263,0.9791248096958485,0.4047956210731374
60 Days Weekly,ARKQ,Equal Weighted,37,7,0.3919126618539324,0.1766778797320004,0.9986471532864426,0.4343898147390182
60 Days Weekly,ARKQ,MarketCap Weighted,37,7,0.39488629818997634,0.15270282559531287,0.993898029743898,0.4343898147390182
60 Days Weekly,ARKW,Equal Weighted,47,7,0.41349367423203137,0.11170187401242833,0.9988112829092978,0.4549998436179968
60 Days Weekly,ARKW,MarketCap Weighted,47,7,0.3995577089192521,0.13020863869727603,0.985656514893643,0.4549998436179968
60 Days Weekly,ARKX,Equal Weighted,34,7,0.3259058762207696,0.16261025849913038,0.98946588225214,0.3604032737586784
60 Days Weekly,ARKX,MarketCap Weighted,34,7,0.4280541377602668,0.0483268885687248,0.9441800787269876,0.3604032737586784
120 Days Daily,ARKK,Equal Weighted,45,70,0.2928310976849398,0.36868037842228013,0.9706707752050617,0.29394778770306185
120 Days Daily,ARKK,MarketCap Weighted,45,70,0.31806646479583206,0.3351057617411116,0.9792333096164217,0.29394778770306185
120 Days Daily,ARKF,Equal Weighted,42,70,0.2881142475465977,0.25014414807112556,0.9713326422805239,0.2901920241934058
120 Days Daily,ARKF,MarketCap Weighted,42,70,0.2987085313250879,0.22419885021386785,0.98521926394662,0.2901920241934058
120 Days Daily,ARKG,Equal Weighted,34,70,0.7512152959575079,0.6662914535947714,0.8764726191898514,0.7149656650816687
120 Days Daily,ARKG,MarketCap Weighted,34,70,0.3684850132359693,0.7395634916312659,0.9866955389339785,0.7149656650816687
120 Days Daily,ARKQ,Equal Weighted,37,70,0.32274612201104974,0.23631999268917697,0.9909758593593627,0.32890066249754235
120 Days Daily,ARKQ,MarketCap Weighted,37,70,0.34964314826070925,0.22394150864930484,0.947641709798791,0.32890066249754235
120 Days Daily,ARKW,Equal Weighted,47,70,0.30074552553300665,0.2854913594370035,0.9801027075384834,0.30289483454509436
120 Days Daily,ARKW,MarketCap Weighted,47,70,0.3055907750299289,0.2745535558662756,0.9760587632042597,0.30289483454509436
120 Days Daily,ARKX,Equal Weighted,34,70,0.2489055378305117,0.22735685510270393,0.9829690622123225,0.2532681279904627
120 Days Daily,ARKX,MarketCap Weighted,34,70,0.33105307986185395,0.14477534391088168,0.8719861517232427,0.2532681279904627
120 Days Weekly,ARKK,Equal Weighted,45,15,0.37764679897308845,0.2773541419822639,0.9783924466126046,0.3914860439269242
120 Days Weekly,ARKK,MarketCap Weighted,45,15,0.39355021162268966,0.2305768346112515,0.9579778899123786,0.3914860439269242
120 Days Weekly,ARKF,Equal Weighted,42,15,0.3604093395499299,0.17546946186184256,0.9776302745121348,0.37395301248640805
